PING 54.250.228.196 (54.250.228.196) 56(84) bytes of data.
64 bytes from 54.250.228.196: icmp_seq=251 ttl=44 time=37.1 ms
64 bytes from 54.250.228.196: icmp_seq=252 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=253 ttl=44 time=37.5 ms
64 bytes from 54.250.228.196: icmp_seq=254 ttl=44 time=37.0 ms
64 bytes from 54.250.228.196: icmp_seq=255 ttl=44 time=36.8 ms
64 bytes from 54.250.228.196: icmp_seq=256 ttl=44 time=37.5 ms
64 bytes from 54.250.228.196: icmp_seq=257 ttl=44 time=37.2 ms
64 bytes from 54.250.228.196: icmp_seq=258 ttl=44 time=39.0 ms
64 bytes from 54.250.228.196: icmp_seq=259 ttl=44 time=37.6 ms
64 bytes from 54.250.228.196: icmp_seq=260 ttl=44 time=37.7 ms
64 bytes from 54.250.228.196: icmp_seq=261 ttl=44 time=38.7 ms
64 bytes from 54.250.228.196: icmp_seq=262 ttl=44 time=37.0 ms
64 bytes from 54.250.228.196: icmp_seq=263 ttl=44 time=40.7 ms
64 bytes from 54.250.228.196: icmp_seq=264 ttl=44 time=52.1 ms
64 bytes from 54.250.228.196: icmp_seq=265 ttl=44 time=37.1 ms
64 bytes from 54.250.228.196: icmp_seq=266 ttl=44 time=37.4 ms
64 bytes from 54.250.228.196: icmp_seq=267 ttl=44 time=46.0 ms
64 bytes from 54.250.228.196: icmp_seq=268 ttl=44 time=36.8 ms
64 bytes from 54.250.228.196: icmp_seq=269 ttl=44 time=37.2 ms
64 bytes from 54.250.228.196: icmp_seq=270 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=271 ttl=44 time=37.0 ms
64 bytes from 54.250.228.196: icmp_seq=272 ttl=44 time=37.4 ms
64 bytes from 54.250.228.196: icmp_seq=273 ttl=44 time=40.1 ms
64 bytes from 54.250.228.196: icmp_seq=274 ttl=44 time=37.4 ms
64 bytes from 54.250.228.196: icmp_seq=275 ttl=44 time=42.6 ms
64 bytes from 54.250.228.196: icmp_seq=276 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=277 ttl=44 time=38.0 ms
64 bytes from 54.250.228.196: icmp_seq=278 ttl=44 time=37.2 ms
64 bytes from 54.250.228.196: icmp_seq=279 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=280 ttl=44 time=40.2 ms
64 bytes from 54.250.228.196: icmp_seq=281 ttl=44 time=37.1 ms
64 bytes from 54.250.228.196: icmp_seq=282 ttl=44 time=37.2 ms
64 bytes from 54.250.228.196: icmp_seq=283 ttl=44 time=41.4 ms
64 bytes from 54.250.228.196: icmp_seq=284 ttl=44 time=37.6 ms
64 bytes from 54.250.228.196: icmp_seq=285 ttl=44 time=37.1 ms
64 bytes from 54.250.228.196: icmp_seq=286 ttl=44 time=37.0 ms
64 bytes from 54.250.228.196: icmp_seq=287 ttl=44 time=39.1 ms
64 bytes from 54.250.228.196: icmp_seq=288 ttl=44 time=37.0 ms
64 bytes from 54.250.228.196: icmp_seq=289 ttl=44 time=37.4 ms
64 bytes from 54.250.228.196: icmp_seq=290 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=291 ttl=44 time=38.0 ms
64 bytes from 54.250.228.196: icmp_seq=292 ttl=44 time=37.2 ms
64 bytes from 54.250.228.196: icmp_seq=293 ttl=44 time=36.8 ms
64 bytes from 54.250.228.196: icmp_seq=294 ttl=44 time=37.2 ms
64 bytes from 54.250.228.196: icmp_seq=295 ttl=44 time=37.3 ms
64 bytes from 54.250.228.196: icmp_seq=296 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=297 ttl=44 time=37.0 ms
64 bytes from 54.250.228.196: icmp_seq=298 ttl=44 time=36.8 ms
64 bytes from 54.250.228.196: icmp_seq=299 ttl=44 time=36.7 ms
64 bytes from 54.250.228.196: icmp_seq=300 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=301 ttl=44 time=38.1 ms
64 bytes from 54.250.228.196: icmp_seq=302 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=303 ttl=44 time=37.1 ms
64 bytes from 54.250.228.196: icmp_seq=304 ttl=44 time=37.0 ms
