PING 18.228.24.236 (18.228.24.236) 56(84) bytes of data.
64 bytes from 18.228.24.236: icmp_seq=194 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=195 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=196 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=197 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=198 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=199 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=200 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=201 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=202 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=203 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=204 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=205 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=206 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=207 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=208 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=209 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=210 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=211 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=212 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=213 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=214 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=215 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=216 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=217 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=218 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=219 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=220 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=221 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=222 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=223 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=224 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=225 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=226 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=227 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=228 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=229 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=230 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=231 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=232 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=233 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=234 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=235 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=236 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=237 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=238 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=239 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=240 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=241 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=242 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=243 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=244 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=245 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=246 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=247 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=248 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=249 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=250 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=251 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=252 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=253 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=254 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=255 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=256 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=257 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=258 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=259 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=260 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=261 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=262 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=263 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=264 ttl=41 time=324 ms
